Tahun,KAB. BANGKALAN,KAB. BANYUWANGI,KAB. BLITAR,KAB. BOJONEGORO,KAB. BONDOWOSO,KAB. GRESIK,KAB. JEMBER,KAB. JOMBANG,KAB. KEDIRI,KAB. LAMONGAN,KAB. LUMAJANG,KAB. MADIUN,KAB. MAGETAN,KAB. MALANG,KAB. MOJOKERTO,KAB. NGANJUK,KAB. NGAWI,KAB. PACITAN,KAB. PAMEKASAN,KAB. PASURUAN,KAB. PONOROGO,KAB. PROBOLINGGO,KAB. SAMPANG,KAB. SIDOARJO,KAB. SITUBONDO,KAB. SUMENEP,KAB. TRENGGALEK,KAB. TUBAN,KAB. TULUNGAGUNG,KOTA BATU,KOTA BLITAR,KOTA KEDIRI,KOTA MADIUN,KOTA MALANG,KOTA MOJOKERTO,KOTA PASURUAN,KOTA PROBOLINGGO,KOTA SURABAYA
2006,-0.073,-0.441,-0.1,-0.127,-0.205,-0.044,-0.199,-0.127,-0.127,-0.108,-0.155,-0.139,-0.133,-0.056,-0.133,-0.141,-0.133,-0.125,-0.166,-0.159,-0.134,-0.157,-0.149,-0.186,-0.21,-0.205,-0.127,-0.123,-0.118,-0.135,-0.102,-0.128,-0.139,-0.126,-0.13,-0.159,-0.158,-0.018
2007,0.021,-0.123,-0.148,-0.137,-0.12,0.067,-0.118,-0.127,-0.198,-0.048,-0.114,-0.227,-0.195,-0.129,-0.099,-0.234,-0.185,-0.167,-0.091,-0.082,-0.212,-0.101,-0.055,-0.036,-0.127,-0.222,-0.204,-0.106,-0.185,-0.146,-0.149,-0.198,-0.227,-0.147,-0.085,-0.082,-0.097,0.123
2008,-0.173,-0.8,-0.377,-0.347,-0.412,-0.122,-0.412,-0.325,-0.41,-0.248,-0.351,-0.446,-0.41,-0.366,-0.286,-0.452,-0.399,-0.379,-0.309,-0.287,-0.429,-0.327,-0.278,-0.257,-0.413,-0.339,-0.42,-0.315,-0.399,-0.312,-0.377,-0.411,-0.446,-0.32,-0.277,-0.287,-0.32,-0.063
2009,0.327,-0.562,0.053,0.133,-0.014,0.388,-0.016,0.128,0.061,0.231,0.062,0.045,0.074,0.052,0.149,0.037,0.085,0.096,0.143,0.129,0.055,0.091,0.18,0.191,-0.01,0.138,0.057,0.169,0.068,0.081,0.054,0.06,0.045,0.077,0.169,0.129,0.1,0.46
2010,0.163,0.407,0.169,0.055,0.174,0.19,0.191,0.115,0.021,0.135,0.193,-0.057,-0.009,0.251,0.163,-0.062,-0.0,0.043,0.104,0.203,-0.027,0.185,0.147,0.19,0.146,-0.192,0.002,0.079,0.048,0.279,0.166,0.019,-0.057,0.288,0.157,0.202,0.183,0.218
2011,-0.196,-0.335,-0.305,-0.294,-0.285,-0.167,-0.285,-0.279,-0.338,-0.238,-0.274,-0.364,-0.338,-0.296,-0.252,-0.37,-0.33,-0.314,-0.252,-0.254,-0.352,-0.266,-0.237,-0.273,-0.288,-0.298,-0.345,-0.271,-0.329,-0.245,-0.305,-0.338,-0.364,-0.251,-0.251,-0.255,-0.265,-0.138
2012,-0.131,-0.072,-0.398,-0.199,-0.159,-0.127,-0.182,-0.219,-0.269,-0.159,-0.23,-0.234,-0.232,-0.559,-0.191,-0.236,-0.221,-0.246,-0.098,-0.172,-0.246,-0.196,-0.115,-0.12,-0.135,0.06,-0.271,-0.174,-0.298,-0.236,-0.39,-0.267,-0.234,-0.27,-0.181,-0.173,-0.189,-0.111
2013,-0.071,0.096,0.008,-0.016,0.008,-0.096,0.011,-0.006,-0.008,-0.036,0.006,-0.017,-0.014,0.02,0.0,-0.017,-0.015,-0.01,-0.016,0.007,-0.014,0.002,-0.02,0.009,0.003,-0.051,-0.01,-0.02,-0.006,0.018,0.007,-0.009,-0.017,0.018,-0.008,0.007,0.0,-0.123
2014,0.166,0.177,0.119,0.134,0.173,0.155,0.166,0.137,0.092,0.163,0.156,0.076,0.1,0.128,0.158,0.068,0.107,0.122,0.217,0.174,0.087,0.164,0.208,0.218,0.182,0.278,0.091,0.156,0.102,0.118,0.118,0.092,0.076,0.115,0.161,0.174,0.167,0.154
2015,0.103,-0.106,0.08,0.11,0.07,0.093,0.066,0.113,0.101,0.113,0.087,0.104,0.105,0.063,0.127,0.104,0.106,0.104,0.114,0.126,0.103,0.1,0.11,0.157,0.075,0.17,0.101,0.112,0.098,0.054,0.081,0.101,0.104,0.042,0.125,0.125,0.103,0.085
2016,0.524,1.028,0.572,0.481,0.635,0.52,0.644,0.517,0.456,0.527,0.607,0.404,0.438,0.632,0.546,0.399,0.443,0.474,0.546,0.604,0.425,0.599,0.571,0.655,0.614,0.317,0.445,0.497,0.476,0.628,0.569,0.454,0.404,0.642,0.547,0.604,0.598,0.525
2017,0.047,0.178,0.049,0.058,0.091,0.03,0.089,0.061,0.045,0.063,0.076,0.041,0.047,0.042,0.071,0.039,0.05,0.053,0.084,0.093,0.043,0.081,0.085,0.146,0.09,0.057,0.044,0.064,0.046,0.059,0.05,0.045,0.041,0.057,0.073,0.093,0.082,0.021
2018,0.121,0.471,0.105,0.175,0.211,0.103,0.201,0.139,0.19,0.138,0.141,0.241,0.21,0.029,0.113,0.246,0.206,0.174,0.168,0.13,0.22,0.144,0.154,0.184,0.22,0.218,0.2,0.162,0.169,0.056,0.107,0.192,0.241,0.052,0.124,0.131,0.146,0.093
2019,0.197,0.391,0.183,0.239,0.252,0.185,0.244,0.211,0.252,0.208,0.206,0.291,0.267,0.126,0.188,0.294,0.264,0.24,0.234,0.191,0.275,0.207,0.219,0.216,0.261,0.309,0.26,0.23,0.236,0.163,0.185,0.253,0.291,0.162,0.195,0.192,0.208,0.176
2020,0.297,0.333,0.299,0.357,0.36,0.267,0.352,0.357,0.358,0.331,0.348,0.373,0.365,0.238,0.363,0.375,0.365,0.354,0.378,0.366,0.366,0.356,0.355,0.368,0.37,0.49,0.356,0.353,0.344,0.402,0.302,0.358,0.373,0.389,0.355,0.365,0.357,0.237
2021,0.076,-0.129,0.102,0.121,0.086,0.041,0.084,0.129,0.108,0.111,0.119,0.095,0.108,0.103,0.137,0.091,0.111,0.121,0.149,0.143,0.102,0.127,0.136,0.188,0.091,0.227,0.105,0.128,0.111,0.232,0.104,0.108,0.095,0.236,0.133,0.143,0.128,0.01
2022,-0.056,-0.109,0.036,0.019,-0.0,-0.087,0.003,0.03,0.042,-0.013,0.029,0.037,0.033,0.038,0.024,0.04,0.03,0.032,0.002,0.029,0.037,0.026,-0.009,0.037,-0.001,0.035,0.039,0.007,0.04,0.145,0.037,0.042,0.037,0.152,0.016,0.029,0.024,-0.119
2023,0.355,-0.024,0.343,0.416,0.298,0.336,0.294,0.397,0.438,0.379,0.332,0.474,0.448,0.286,0.38,0.48,0.443,0.419,0.357,0.365,0.458,0.346,0.348,0.412,0.307,0.471,0.443,0.4,0.419,0.356,0.346,0.439,0.474,0.348,0.382,0.365,0.35,0.32
2024,0.744,0.517,0.737,0.782,0.716,0.729,0.714,0.771,0.795,0.761,0.738,0.817,0.801,0.699,0.758,0.82,0.798,0.784,0.751,0.759,0.807,0.747,0.746,0.811,0.721,0.819,0.798,0.772,0.783,0.781,0.739,0.796,0.817,0.781,0.762,0.759,0.75,0.719
2025,0.193,0.42,0.245,0.203,0.27,0.183,0.275,0.221,0.209,0.208,0.265,0.19,0.197,0.258,0.223,0.192,0.197,0.206,0.219,0.257,0.196,0.26,0.225,0.287,0.262,0.14,0.203,0.2,0.212,0.341,0.245,0.208,0.19,0.353,0.224,0.257,0.258,0.177
